Shear-Relative Angle,Low-Level Mean Flow-Relative Angle,Updraft Depth,Updraft Bottom Altitude,Updraft Top Altitude,Upraft Vertical Velocity,Circulation Classification,Updraft Radius,Updraft Normalized Radius
230.1327,328.5242,4,1,5,1.613636,1,24.39421,0.5544139
0.4040861,98.79553,6.5,1,7.5,1.750673,3,83.72121,1.902755
150.159,248.5504,5.5,1.5,7,1.9025,2,145.0927,3.297562
79.89336,178.2848,4,1.5,5.5,1.984131,1,39.53273,0.8984712
49.09749,147.489,1.5,1.5,3,1.61,1,53.66564,1.219674
13.49146,111.8829,1.5,1.5,3,3.963333,1,30.25164,0.6875373
358.6292,97.02069,1.5,1.5,3,1.805,4,28.74576,0.6533127
64.90572,163.2971,1.5,2,3.5,1.682857,2,36.65595,0.8330898
26.54308,124.9345,5.5,2,7.5,1.916549,1,40.02118,0.9095722
238.6045,336.9959,1.5,2.5,4,3.075,3,42.51196,0.9661808
313.4026,51.79401,1.5,2.5,4,1.553333,1,63.80957,1.450218
195.7901,294.1815,3.5,2.5,6,1.672708,2,62.17696,1.413113
18.1968,116.5883,3.5,2,5.5,1.679219,1,81.22508,1.846025
322.5295,60.92093,2.5,3,5.5,1.668611,3,76.48981,1.738405
336.9161,75.30759,4.5,3,7.5,1.563334,3,82.35185,1.871633
163.323,261.7145,4.5,5,9.5,2.053659,4,143.541,3.262295
149.092,247.4835,1.5,5,6.5,1.565625,2,130.705,2.970569
165.6835,248.755,3.5,0,3.5,4.336923,4,13.99949,0.4999819
195.5606,278.6321,12,0,12,2.899883,1,26.91144,0.961123
223.1052,306.1767,14,0,14,3.018345,2,28.49816,1.017791
22.24186,105.3134,1.5,0,1.5,1.874286,1,85.76842,3.063158
199.2423,282.3138,13,0.5,13.5,2.038903,1,39.3828,1.406529
161.5966,244.6682,2.5,0.5,3,4.23797,NaN,8.433442,0.3011944
164.0373,247.1088,2,1.5,3.5,1.8625,2,69.26038,2.473585
192.7853,275.8568,8.5,1.5,10,2.049813,1,58.39004,2.085358
195.5583,278.6298,3.5,2,5.5,2.05339,3,79.56877,2.841742
32.38834,115.4598,10,1.5,11.5,2.247004,4,64.7845,2.313732
219.1981,302.2696,3,2.5,5.5,1.799033,1,79.58823,2.842437
172.7992,255.8707,3,3,6,1.979556,2,79.63293,2.844033
213.564,296.6356,1.5,6,7.5,1.951666,1,63.37284,2.263316
254.9707,342.0316,14,0,14,3.455242,2,29.74766,1.062416
136.4526,223.5136,3,0.5,3.5,2.811398,4,12.91761,0.4613433
103.5956,190.6566,3.5,1,4.5,1.822174,2,137.9332,4.926185
240.3822,327.4431,1.5,1,2.5,1.70875,1,48.12193,1.71864
53.93061,140.9916,6,1,7,2.249773,3,20.58605,0.7352161
113.564,200.625,4,1.5,5.5,1.943214,2,139.2255,4.972339
21.43019,108.4911,4,1,5,1.898095,2,17.38633,0.6209403
285.9477,13.00864,2,1.5,3.5,1.698182,1,51.12764,1.825987
